Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,2,20.0,-4.0
Query 2,3,30.0,-15.25
Query 3,1,10.0,0.0
Query 4,3,30.0,-19.75
Query 5,0,0.0,0.0
Query 6,4,40.0,0.5
Query 7,3,30.0,-7.75
Query 8,4,40.0,-3.6
Query 9,0,0.0,0.0
Query 10,2,20.0,-72.0
Query 11,5,50.0,0.35
Query 12,2,20.0,-1.0
Query 13,5,50.0,-1.25
Query 14,4,40.0,-7.1
Query 15,2,20.0,-9.0
Query 16,1,10.0,0.0
Query 17,1,10.0,0.0
Query 18,1,10.0,0.0
Query 19,5,50.0,-1.7
Query 20,3,30.0,-2.5
Query 21,2,20.0,-12.0
Query 22,1,10.0,0.0
Query 23,3,30.0,-8.5
Query 24,2,20.0,-3.0
Query 25,1,10.0,0.0
Query 26,5,50.0,-0.7
Query 27,1,10.0,0.0
Query 28,4,40.0,-1.7
Query 29,1,10.0,0.0
Query 30,1,10.0,0.0
Query 31,2,20.0,-4.0
Query 32,2,20.0,-12.0
Query 33,1,10.0,0.0
Query 34,2,20.0,-12.0
Query 35,1,10.0,0.0
Query 36,1,10.0,0.0
Query 37,2,20.0,-4.0
Query 38,4,40.0,-6.2
Query 39,3,30.0,-0.5
Query 40,0,0.0,0.0
Query 41,3,30.0,-2.5
Query 42,1,10.0,0.0
Query 43,4,40.0,-4.7
Query 44,3,30.0,-8.0
Query 45,2,20.0,-17.0
Query 46,2,20.0,-33.0
Query 47,2,20.0,-12.0
Query 48,1,10.0,0.0
Query 49,3,30.0,-17.5
Query 50,2,20.0,-16.0
Query 51,4,40.0,-2.0
Query 52,2,20.0,-3.0
Query 53,2,20.0,-12.0
Query 54,1,10.0,0.0
Query 55,2,20.0,-36.0
Query 56,2,20.0,-1.0
Query 57,1,10.0,0.0
Query 58,0,0.0,0.0
Query 59,1,10.0,0.0
Query 60,1,10.0,0.0
Query 61,4,40.0,-11.6
Query 62,6,60.0,-2.43
Query 63,3,30.0,-5.0
Query 64,3,30.0,-8.0
Query 65,4,40.0,-4.4
Query 66,2,20.0,-3.0
Query 67,2,20.0,-35.0
Query 68,2,20.0,-25.0
Query 69,1,10.0,0.0
Query 70,3,30.0,-16.25
Query 71,0,0.0,0.0
Query 72,4,40.0,-3.0
Query 73,3,30.0,-5.75
Query 74,0,0.0,0.0
Query 75,3,30.0,-10.25
Query 76,1,10.0,1.0
Query 77,2,20.0,-1.0
Query 78,2,20.0,-15.0
Query 79,1,10.0,0.0
Query 80,3,30.0,0.5
Query 81,4,40.0,-0.2
Query 82,3,30.0,-24.25
Query 83,4,40.0,-5.3
Query 84,2,20.0,-1.0
Query 85,2,20.0,-4.0
Query 86,4,40.0,-0.1
Query 87,2,20.0,-1.0
Query 88,1,10.0,1.0
Query 89,4,40.0,0.2
Query 90,3,30.0,-2.5
Query 91,4,40.0,-0.5
Query 92,0,0.0,0.0
Query 93,3,30.0,-3.5
Query 94,3,30.0,-0.25
Query 95,1,10.0,0.0
Query 96,2,20.0,0.0
Query 97,2,20.0,0.0
Query 98,3,30.0,-5.25
Query 99,0,0.0,0.0
Query 100,2,20.0,0.0
Averages,2.27,22.7,-5.64
